code,name_ja,name_en,population,gdp_nominal,gdp_ppp_per_capita,gdp_ppp,y_gdp,y_ppp,y_population,surface,population_density,y_net,net,y_life,life,y_young,young,y_forest,forest,y_tas,tas,capital_en,capital_ja,name_ja_hira
ISL,アイスランド,Iceland,387558,31325116556.0,67879.40645,26307207006.0,2023,2023,2023,103000.0,3.762699029,2023,99.8301,2022,82.17073171,2023,18.0560304,2022,0.5222651988,2023,1.77,Reykjavik,レイキャビク,あいすらんど
IRL,アイルランド,Ireland,5196630,551394889340.0,117865.4267,612503012553.0,2023,2023,2023,70280.0,73.94180421,2023,96.4974,2022,83.05609756,2023,19.01703604,2022,11.46784729,2023,10.66,Dublin,ダブリン,あいるらんど
AZE,アゼルバイジャン,Azerbaijan,10318207,72356176471.0,20923.83695,215896480847.0,2023,2023,2023,86600.0,119.1478868,2023,89.0,2022,73.488,2023,22.3444393,2022,13.97248155,2023,14.21,Baku,バクー,あぜるばいじゃん
AFG,アフガニスタン,Afghanistan,41454761,17233051620.0,1992.424394,82595477072.0,2023,2023,2023,652860.0,63.49716785,2023,17.7089,2022,62.879,2023,43.22620386,2022,1.852781994,2023,14.67,Kabul,カブール,あふがにすたん
USA,アメリカ合衆国,United States,343477335,27720709000000.0,72718.387,24977117772096.0,2023,2023,2023,9831510.0,34.93637651,2023,93.1444,2022,77.43414634,2023,17.59463765,2022,33.86692641,2023,10.25,Washington,ワシントンD.C.,あめりかがっしゅうこく
ASM,アメリカ領サモア,American Samoa,47521,871000000.0,0.0,0.0,2022,0,2023,200.0,237.605,0,0.0,0,0.0,2023,27.51099514,2022,85.35,2023,27.5,Pago Pago,パゴパゴ,あめりかりょうさもあ
VIR,アメリカ領ヴァージン諸島,"Virgin Islands, U.S.",85701,4672000000.0,57169.9562,4899522416.0,2022,2022,2023,350.0,244.86,2017,64.3775,2022,80.3195122,2023,16.51906045,2022,57.74285714,2023,27.54,Charlotte Amalie,シャーロット・アマリー,あめりかりょうばーじにあ
ARE,アラブ首長国連邦,United Arab Emirates,10642081,514130432653.0,67557.26248,718949859488.0,2023,2023,2023,98647.9,107.879448,2023,100.0,2022,79.196,2023,16.33894254,2022,4.467755562,2023,28.95,Abu Dhabi,アブダビ,あらぶしゅちょうこくれんごう
DZA,アルジェリア,Algeria,46164219,247626161016.0,15159.32424,699818363978.0,2023,2023,2023,2381741.0,19.38255209,2023,76.9081,2022,77.129,2023,30.63934754,2022,0.826332964,2023,23.96,Algiers,アルジェ,あるじぇりあ
ARG,アルゼンチン,Argentina,45538401,646075277525.0,27104.98,1234317448238.0,2023,2023,2023,2780400.0,16.37836319,2023,89.229,2022,76.064,2023,22.19065729,2022,10.3611378,2023,15.95,Buenos Aires,ブエノスアイレス,あるぜんちん
ABW,アルバ,Aruba,107939,3648573136.0,40299.09533,4349844051.0,2023,2023,2023,180.0,599.6611111,2017,97.17,2022,74.992,2023,17.18524901,2022,2.333333333,2023,29.39,Oranjestad,オラニエスタッド,あるば
ALB,アルバニア,Albania,2811655,23547179830.0,17555.86623,49361039069.0,2023,2023,2023,28750.0,97.79669565,2023,83.1356,2022,76.833,2023,17.0419735,2022,28.7919708,2023,13.86,Tirana,ティラナ,あるばにあ
ARM,アルメニア,Armenia,2943393,24085749592.0,19540.56936,57515575061.0,2023,2023,2023,29740.0,98.97084734,2023,79.9966,2022,73.372,2023,19.54533425,2022,11.52265543,2023,9.02,Yerevan,エレバン,あるめにあ
AIA,アンギラ,Anguilla,14410,0.0,0.0,0.0,0,0,2023,0.0,0.0,2016,81.57,0,0.0,0,0.0,0,0.0,2023,28.35,The Valley,ザ・バレー,あんぎら
AGO,アンゴラ,Angola,36749906,84824654482.0,7244.893053,266249138676.0,2023,2023,2023,1246700.0,29.47774605,2023,44.7581,2022,61.929,2023,44.57226503,2022,52.53649723,2023,21.51,Luanda,ルアンダ,あんごら
ATG,アンティグア・バーブーダ,Antigua and Barbuda,93316,2033085185.0,28967.25568,2703108431.0,2023,2023,2023,440.0,212.0818182,2023,77.5756,2022,79.236,2023,18.21723079,2022,18.16159091,2023,27.83,St. John's,セントジョンズ,あんてぃぐあ・ばーぶーだ
AND,アンドラ,Andorra,80856,3785067332.0,64631.29639,5225828101.0,2023,2023,2023,470.0,172.0340426,2023,95.4456,0,0.0,2023,12.24769961,2022,34.04255319,2023,9.56,Andorra la Vella,アンドラ ラ ベリャ,あんどら
YEM,イエメン,Yemen,39390799,21606160784.0,0.0,0.0,2018,0,2023,527970.0,74.60802508,2020,13.8152,2022,63.72,2023,41.22611857,2022,1.039831809,2023,25.93,Sanaa,サナア,いえめん
GBR,イギリス,United Kingdom,68682962,3380854520810.0,52334.03801,3594456744060.0,2023,2023,2023,243610.0,281.9381881,2023,96.2988,2022,82.05853659,2023,17.40914204,2022,13.25548712,2023,10.14,London,ロンドン,いぎりす
VGB,イギリス領ヴァージン諸島,"Virgin Islands, British",38985,0.0,0.0,0.0,0,0,2023,150.0,259.9,2017,77.7043,2022,76.373,2023,15.13915609,2022,24.13333333,2023,27.25,Road Town,ロードタウン,いぎりすりょうばーじにあ
ISR,イスラエル,Israel,9256314,513611100816.0,50969.64373,471791026861.0,2023,2023,2023,22070.0,419.4070684,2023,87.0384,2022,82.7,2023,27.61461528,2021,6.469500924,2023,20.96,Jerusalem,エルサレム,いすらえる
ITA,イタリア,Italy,59499453,2300941152992.0,52141.48045,3102389565335.0,2023,2023,2023,302070.0,196.9724004,2023,87.0278,2022,82.9,2023,12.14443518,2022,32.71253212,2023,14.38,Rome,ローマ,いたりあ
